state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
CT,33064,27220,74,66,0,0,2021,8,M,M8
CT,39510,33358,55,51,0,0,2021,9,M,M9
CT,258,236,22,16,53,48,2021,10,M,M10
CT,19826,18428,15,13,0,0,2021,11,M,M11
CT,314,282,11,11,162,159,2021,12,M,M12
CT,1537,1402,103,97,784,734,2022,1,M,M1
CT,55808,48167,32,32,240,224,2022,2,M,M2
CT,67950,59635,15,15,34,32,2022,3,M,M3
CT,122,104,2,2,86,76,2022,4,M,M4
CT,300578,268132,109,109,104,96,2022,5,M,M5
CT,10303,8936,14,12,44,42,2022,6,M,M6
CT,183,154,38,34,48,48,2022,7,M,M7
CT,111216,98765,606,602,0,0,2022,8,M,M8
CT,12262,12238,369,368,0,0,2022,9,M,M9
CT,6691,6677,155,155,0,0,2022,10,M,M10
CT,328,322,11,11,0,0,2022,11,M,M11
CT,114,104,44,44,59,55,2022,12,M,M12
CT,17337,17291,694,694,0,0,2023,1,M,M1
DC,72,72,20,20,0,0,2020,2,M,M2
DC,2466,2466,692,692,86,86,2020,3,M,M3
DC,6596,6596,2168,2168,460,460,2020,4,M,M4
DC,4342,4342,1402,1402,198,198,2020,5,M,M5
DC,1152,1152,440,440,0,0,2020,6,M,M6
DC,8720,8720,480,480,48,48,2020,7,M,M7
DC,1422,1422,326,326,0,0,2020,8,M,M8
DC,1264,1264,264,264,0,0,2020,9,M,M9
DC,1586,1586,336,336,0,0,2020,10,M,M10
DC,3722,3722,656,656,44,44,2020,11,M,M11
DC,5443,5440,1008,1008,108,108,2020,12,M,M12
DC,35864,35860,2086,2086,204,204,2021,1,M,M1
DC,7068,7068,1258,1258,76,76,2021,2,M,M2
DC,7109,7109,1162,1162,24,24,2021,3,M,M3
DC,9574,9574,1302,1302,0,0,2021,4,M,M4
DC,1950,1950,474,474,0,0,2021,5,M,M5
DC,1130,1130,222,222,0,0,2021,6,M,M6
DC,2244,2244,276,276,0,0,2021,7,M,M7
DC,9822,9822,1830,1830,0,0,2021,8,M,M8
DC,11450,11450,1790,1790,0,0,2021,9,M,M9
DC,5882,5882,676,676,0,0,2021,10,M,M10
DC,5160,5160,640,640,0,0,2021,11,M,M11
DC,12522,12506,3148,3148,32,32,2021,12,M,M12
DC,111480,111466,7852,7852,72,72,2022,1,M,M1
DC,9741,9741,474,474,0,0,2022,2,M,M2
DC,3732,3732,78,78,0,0,2022,3,M,M3
DC,4918,4918,52,52,0,0,2022,4,M,M4
DC,11,7,0,0,0,0,2022,6,M,M6
DC,31,18,0,0,0,0,2022,7,M,M7
DE,600,598,36,36,0,0,2020,3,M,M3
DE,8484,8264,38,38,0,0,2020,4,M,M4
DE,8771,7424,10,10,0,0,2020,5,M,M5
DE,3858,3711,0,0,0,0,2020,6,M,M6
DE,6266,6222,0,0,0,0,2020,7,M,M7
DE,4792,4750,0,0,0,0,2020,8,M,M8
DE,5839,5702,2,2,0,0,2020,9,M,M9
DE,8538,8363,0,0,0,0,2020,10,M,M10
DE,21694,21270,0,0,0,0,2020,11,M,M11
DE,42743,41025,0,0,0,0,2020,12,M,M12
DE,40240,37695,0,0,0,0,2021,1,M,M1
DE,16861,15328,0,0,0,0,2021,2,M,M2
DE,16110,14197,0,0,0,0,2021,3,M,M3
DE,18527,15854,0,0,0,0,2021,4,M,M4
DE,8033,7134,2,2,0,0,2021,5,M,M5
DE,1706,1451,0,0,0,0,2021,6,M,M6
DE,3443,2884,0,0,0,0,2021,7,M,M7
DE,17087,14587,0,0,0,0,2021,8,M,M8
DE,26632,23357,0,0,0,0,2021,9,M,M9
DE,20978,18645,2,2,0,0,2021,10,M,M10
