"State","Year","Period","Pandemic_4","Pandemic_1","Pandemic_7","Pandemic_6","Pandemic_11","Pandemic_8"
"DE","2021","M10",20978,18645,2,2,0,0
"DE","2021","M11",18441,16533,0,0,0,0
"DE","2021","M12",59538,54169,2,0,0,0
"DE","2022","M01",127579,114702,2,2,0,0
"DE","2022","M02",15982,13951,0,0,0,0
"DE","2022","M03",5713,4346,0,0,0,0
"DE","2022","M04",9178,8178,0,0,0,0
"DE","2022","M05",27526,24350,0,0,0,0
"DE","2022","M06",17035,15150,0,0,0,0
"DE","2022","M07",18791,16728,2,2,0,0
"DE","2022","M08",13837,11887,0,0,0,0
"DE","2022","M09",5709,4925,0,0,0,0
"DE","2022","M10",4334,3778,0,0,0,0
"DE","2022","M11",3285,2773,1,1,0,0
"DE","2022","M12",5154,4227,0,0,0,0
"DE","2023","M01",4348,3357,0,0,0,0
"DE","2023","M02",1954,1359,0,0,0,0
"FL","2020","M01",518,443,32,32,0,0
"FL","2020","M02",640,579,75,71,0,0
"FL","2020","M03",32614,30795,6188,6150,680,680
"FL","2020","M04",42117,40892,7252,7230,1826,1824
"FL","2020","M05",44205,43842,5870,5866,1298,1298
"FL","2020","M06",164028,163722,11909,11895,1874,1869
"FL","2020","M07",272614,271929,21081,20994,9106,8995
"FL","2020","M08",300207,299491,12396,12304,5935,5774
"FL","2020","M09",224407,223492,6821,6763,1790,1698
"FL","2020","M10",261057,259331,6918,6849,1190,1128
"FL","2020","M11",176358,173199,8408,8283,2329,2150
"FL","2020","M12",280007,255342,12101,11755,5710,5241
"FL","2021","M01",791757,591137,24239,22958,10186,9400
"FL","2021","M02",497499,404212,11686,11031,2608,2468
"FL","2021","M03",549473,471606,11408,10778,1008,933
"FL","2021","M04",329614,242295,10603,9907,1162,1120
"FL","2021","M05",161594,120667,6829,6396,503,476
"FL","2021","M06",118320,95136,5806,5404,285,275
"FL","2021","M07",470848,369858,23648,22208,7366,6837
"FL","2021","M08",755774,627910,32076,30650,17648,16430
"FL","2021","M09",554087,553338,12989,12969,4064,4050
"FL","2021","M10",339610,339400,5784,5778,439,439
"FL","2021","M11",92168,91955,2543,2543,59,59
"FL","2021","M12",608761,607509,6175,6163,1629,1629
"FL","2022","M01",1158148,992226,11640,11460,9127,9120
"FL","2022","M02",646363,645842,3581,3577,1464,1463
"FL","2022","M03",243042,242753,1299,1299,12,12
"FL","2022","M04",114933,114611,1381,1378,59,59
"FL","2022","M05",310532,309866,2742,2738,618,616
"FL","2022","M06",379158,378313,3519,3517,1349,1341
"FL","2022","M07",356613,355107,3983,3975,1559,1551
"FL","2022","M08",196334,193789,2428,2409,552,542
"FL","2022","M09",41199,41113,796,796,218,218
"FL","2022","M10",22740,22673,585,585,67,67
"FL","2022","M11",28520,28449,713,711,137,137
"FL","2022","M12",50020,49893,1094,1094,343,343
"FL","2023","M01",47785,46509,1075,1074,353,352
"FL","2023","M02",24473,18070,209,186,0,0
"GA","2020","M01",1325,1243,2,2,720,718
"GA","2020","M02",332,306,4,4,0,0
"GA","2020","M03",13485,13113,348,348,0,0
"GA","2020","M04",33225,32649,270,270,0,0
"GA","2020","M05",33864,33370,154,154,0,0
"GA","2020","M06",65773,65124,178,178,0,0
"GA","2020","M07",156588,154554,210,210,0,0
"GA","2020","M08",126342,121716,272,272,0,0
"GA","2020","M09",77429,72192,598,546,0,0
"GA","2020","M10",85979,71496,1414,1316,0,0
"GA","2020","M11",148157,115205,1900,1682,0,0
"GA","2020","M12",325534,238380,3706,3074,98,72
"GA","2021","M01",398909,292470,3274,2718,310,244
"GA","2021","M02",167263,112663,1275,1101,0,0
"GA","2021","M03",83526,50859,634,524,0,0
"GA","2021","M04",70278,44262,648,542,0,0
"GA","2021","M05",59694,24400,398,312,58,0
"GA","2021","M06",14025,9115,198,154,0,0
