State,Year,Period,Pandemic_10
MA,2022,M02,1248
MA,2022,M03,461
MA,2022,M04,158
MA,2022,M05,331
MA,2022,M06,350
MA,2022,M07,232
MA,2022,M08,214
MA,2022,M09,316
MA,2022,M10,0
MI,2020,M01,0
MI,2020,M02,0
MI,2020,M03,292
MI,2020,M04,3699
MI,2020,M05,1740
MI,2020,M06,462
MI,2020,M07,257
MI,2020,M08,303
MI,2020,M09,330
MI,2020,M10,616
MI,2020,M11,1865
MI,2020,M12,3454
MI,2021,M01,2507
MI,2021,M02,983
MI,2021,M03,611
MI,2021,M04,1634
MI,2021,M05,1623
MI,2021,M06,623
MI,2021,M07,189
MI,2021,M08,359
MI,2021,M09,808
MI,2021,M10,1307
MI,2021,M11,1737
MI,2021,M12,3621
MI,2022,M01,3243
MI,2022,M02,2242
MI,2022,M03,1157
MI,2022,M04,340
MI,2022,M05,355
MI,2022,M06,561
MI,2022,M07,510
MI,2022,M08,610
MI,2022,M09,586
MI,2022,M10,0
MN,2020,M01,0
MN,2020,M02,0
MN,2020,M03,12
MN,2020,M04,331
MN,2020,M05,707
MN,2020,M06,426
MN,2020,M07,164
MN,2020,M08,226
MN,2020,M09,223
MN,2020,M10,422
MN,2020,M11,1141
MN,2020,M12,1730
MN,2021,M01,886
MN,2021,M02,283
MN,2021,M03,375
MN,2021,M04,311
MN,2021,M05,282
MN,2021,M06,168
MN,2021,M07,74
MN,2021,M08,143
MN,2021,M09,352
MN,2021,M10,537
MN,2021,M11,713
MN,2021,M12,1150
MN,2022,M01,905
MN,2022,M02,728
MN,2022,M03,349
MN,2022,M04,140
MN,2022,M05,165
MN,2022,M06,184
MN,2022,M07,166
MN,2022,M08,136
MN,2022,M09,222
MN,2022,M10,0
MS,2020,M01,0
MS,2020,M02,0
MS,2020,M03,20
MS,2020,M04,241
MS,2020,M05,473
MS,2020,M06,339
MS,2020,M07,590
MS,2020,M08,810
MS,2020,M09,496
MS,2020,M10,365
MS,2020,M11,473
MS,2020,M12,980
MS,2021,M01,1258
MS,2021,M02,636
MS,2021,M03,351
MS,2021,M04,167
MS,2021,M05,117
MS,2021,M06,96
MS,2021,M07,131
MS,2021,M08,866
MS,2021,M09,1191
MS,2021,M10,475
MS,2021,M11,210
MS,2021,M12,165
MS,2022,M01,485
MS,2022,M02,1104
MS,2022,M03,358
MS,2022,M04,47
MS,2022,M05,23
MS,2022,M06,58
MS,2022,M07,123
MS,2022,M08,146
MS,2022,M09,118
MS,2022,M10,0
MO,2020,M01,0
MO,2020,M02,0
MO,2020,M03,19
MO,2020,M04,425
MO,2020,M05,378
MO,2020,M06,207
MO,2020,M07,249
MO,2020,M08,292
MO,2020,M09,528
MO,2020,M10,957
MO,2020,M11,835
MO,2020,M12,1834
MO,2021,M01,1347
MO,2021,M02,1210
MO,2021,M03,572
MO,2021,M04,285
MO,2021,M05,360
MO,2021,M06,228
MO,2021,M07,373
MO,2021,M08,949
MO,2021,M09,928
MO,2021,M10,578
MO,2021,M11,532
MO,2021,M12,3141
MO,2022,M01,1188
MO,2022,M02,1650
