"State","Year","Period","S_Consumption"
"CT",2015,"M05",116444.55
"CT",2015,"M06",116756.6
"CT",2015,"M07",117068.65
"CT",2015,"M08",117380.7
"CT",2015,"M09",117692.75
"CT",2015,"M10",118004.8
"CT",2015,"M11",118316.85
"CT",2015,"M12",118628.9
"CT",2016,"M01",118832.808333333
"CT",2016,"M02",119036.716666667
"CT",2016,"M03",119240.625
"CT",2016,"M04",119444.533333333
"CT",2016,"M05",119648.441666667
"CT",2016,"M06",119852.35
"CT",2016,"M07",120056.258333333
"CT",2016,"M08",120260.166666667
"CT",2016,"M09",120464.075
"CT",2016,"M10",120667.983333333
"CT",2016,"M11",120871.891666667
"CT",2016,"M12",121075.8
"CT",2017,"M01",121388.733333333
"CT",2017,"M02",121701.666666667
"CT",2017,"M03",122014.6
"CT",2017,"M04",122327.533333333
"CT",2017,"M05",122640.466666667
"CT",2017,"M06",122953.4
"CT",2017,"M07",123266.333333333
"CT",2017,"M08",123579.266666667
"CT",2017,"M09",123892.2
"CT",2017,"M10",124205.133333333
"CT",2017,"M11",124518.066666667
"CT",2017,"M12",124831
"CT",2018,"M01",125282.341666667
"CT",2018,"M02",125733.683333333
"CT",2018,"M03",126185.025
"CT",2018,"M04",126636.366666667
"CT",2018,"M05",127087.708333333
"CT",2018,"M06",127539.05
"CT",2018,"M07",127990.391666667
"CT",2018,"M08",128441.733333333
"CT",2018,"M09",128893.075
"CT",2018,"M10",129344.416666667
"CT",2018,"M11",129795.758333333
"CT",2018,"M12",130247.1
"CT",2019,"M01",130450.75
"CT",2019,"M02",130654.4
"CT",2019,"M03",130858.05
"CT",2019,"M04",131061.7
"CT",2019,"M05",131265.35
"CT",2019,"M06",131469
"CT",2019,"M07",131672.65
"CT",2019,"M08",131876.3
"CT",2019,"M09",132079.95
"CT",2019,"M10",132283.6
"CT",2019,"M11",132487.25
"CT",2019,"M12",132690.9
"CT",2020,"M01",132410.166666667
"CT",2020,"M02",132129.433333333
"CT",2020,"M03",131848.7
"CT",2020,"M04",131567.966666667
"CT",2020,"M05",131287.233333333
"CT",2020,"M06",131006.5
"CT",2020,"M07",130725.766666667
"CT",2020,"M08",130445.033333333
"CT",2020,"M09",130164.3
"CT",2020,"M10",129883.566666667
"CT",2020,"M11",129602.833333333
"CT",2020,"M12",129322.1
"CT",2021,"M01",130322.808333333
"CT",2021,"M02",131323.516666667
"CT",2021,"M03",132324.225
"CT",2021,"M04",133324.933333333
"CT",2021,"M05",134325.641666667
"CT",2021,"M06",135326.35
"CT",2021,"M07",136327.058333333
"CT",2021,"M08",137327.766666667
"CT",2021,"M09",138328.475
"CT",2021,"M10",139329.183333333
"CT",2021,"M11",140329.891666667
"CT",2021,"M12",141330.6
"CT",2022,"M01",142212.975
"CT",2022,"M02",143095.35
"CT",2022,"M03",143977.725
"CT",2022,"M04",144860.1
"CT",2022,"M05",145742.475
"CT",2022,"M06",146624.85
"CT",2022,"M07",147507.225
"CT",2022,"M08",148389.6
"CT",2022,"M09",149271.975
"CT",2022,"M10",150154.35
"CT",2022,"M11",151036.725
"CT",2022,"M12",151919.1
"DE",2012,"M01",23744.4416666667
"DE",2012,"M02",23786.6833333333
"DE",2012,"M03",23828.925
"DE",2012,"M04",23871.1666666667
"DE",2012,"M05",23913.4083333333
"DE",2012,"M06",23955.65
"DE",2012,"M07",23997.8916666667
"DE",2012,"M08",24040.1333333333
"DE",2012,"M09",24082.375
"DE",2012,"M10",24124.6166666667
"DE",2012,"M11",24166.8583333333
"DE",2012,"M12",24209.1
"DE",2013,"M01",24256.8916666667
"DE",2013,"M02",24304.6833333333
"DE",2013,"M03",24352.475
"DE",2013,"M04",24400.2666666667
"DE",2013,"M05",24448.0583333333
"DE",2013,"M06",24495.85
"DE",2013,"M07",24543.6416666667
"DE",2013,"M08",24591.4333333333
"DE",2013,"M09",24639.225
"DE",2013,"M10",24687.0166666667
"DE",2013,"M11",24734.8083333333
"DE",2013,"M12",24782.6
"DE",2014,"M01",24889.4833333333
"DE",2014,"M02",24996.3666666667
"DE",2014,"M03",25103.25
"DE",2014,"M04",25210.1333333333
"DE",2014,"M05",25317.0166666667
"DE",2014,"M06",25423.9
"DE",2014,"M07",25530.7833333333
"DE",2014,"M08",25637.6666666667
"DE",2014,"M09",25744.55
"DE",2014,"M10",25851.4333333333
"DE",2014,"M11",25958.3166666667
"DE",2014,"M12",26065.2
"DE",2015,"M01",26120.6333333333
"DE",2015,"M02",26176.0666666667
"DE",2015,"M03",26231.5
"DE",2015,"M04",26286.9333333333
"DE",2015,"M05",26342.3666666667
"DE",2015,"M06",26397.8
"DE",2015,"M07",26453.2333333333
"DE",2015,"M08",26508.6666666667
"DE",2015,"M09",26564.1
"DE",2015,"M10",26619.5333333333
"DE",2015,"M11",26674.9666666667
"DE",2015,"M12",26730.4
"DE",2016,"M01",26798.1083333333
"DE",2016,"M02",26865.8166666667
"DE",2016,"M03",26933.525
"DE",2016,"M04",27001.2333333333
"DE",2016,"M05",27068.9416666667
"DE",2016,"M06",27136.65
"DE",2016,"M07",27204.3583333333
"DE",2016,"M08",27272.0666666667
"DE",2016,"M09",27339.775
"DE",2016,"M10",27407.4833333333
"DE",2016,"M11",27475.1916666667
"DE",2016,"M12",27542.9
"DE",2017,"M01",27649
"DE",2017,"M02",27755.1
"DE",2017,"M03",27861.2
"DE",2017,"M04",27967.3
"DE",2017,"M05",28073.4
"DE",2017,"M06",28179.5
"DE",2017,"M07",28285.6
"DE",2017,"M08",28391.7
"DE",2017,"M09",28497.8
"DE",2017,"M10",28603.9
"DE",2017,"M11",28710
"DE",2017,"M12",28816.1
"DE",2018,"M01",28956.5916666667
"DE",2018,"M02",29097.0833333333
"DE",2018,"M03",29237.575
"DE",2018,"M04",29378.0666666667
"DE",2018,"M05",29518.5583333333
"DE",2018,"M06",29659.05
"DE",2018,"M07",29799.5416666667
"DE",2018,"M08",29940.0333333333
"DE",2018,"M09",30080.525
"DE",2018,"M10",30221.0166666667
"DE",2018,"M11",30361.5083333333
"DE",2018,"M12",30502
"DE",2019,"M01",30598.225
"DE",2019,"M02",30694.45
"DE",2019,"M03",30790.675
"DE",2019,"M04",30886.9
"DE",2019,"M05",30983.125
"DE",2019,"M06",31079.35
"DE",2019,"M07",31175.575
"DE",2019,"M08",31271.8
"DE",2019,"M09",31368.025
"DE",2019,"M10",31464.25
"DE",2019,"M11",31560.475
"DE",2019,"M12",31656.7
"DE",2020,"M01",31534.3083333333
"DE",2020,"M02",31411.9166666667
"DE",2020,"M03",31289.525
"DE",2020,"M04",31167.1333333333
"DE",2020,"M05",31044.7416666667
"DE",2020,"M06",30922.35
"DE",2020,"M07",30799.9583333333
"DE",2020,"M08",30677.5666666667
"DE",2020,"M09",30555.175
"DE",2020,"M10",30432.7833333333
"DE",2020,"M11",30310.3916666667
"DE",2020,"M12",30188
"DE",2021,"M01",30494.1666666667
"DE",2021,"M02",30800.3333333333
"DE",2021,"M03",31106.5
"DE",2021,"M04",31412.6666666667
"DE",2021,"M05",31718.8333333333
"DE",2021,"M06",32025
"DE",2021,"M07",32331.1666666667
"DE",2021,"M08",32637.3333333333
"DE",2021,"M09",32943.5
"DE",2021,"M10",33249.6666666667
"DE",2021,"M11",33555.8333333333
"DE",2021,"M12",33862
"DE",2022,"M01",34129.4416666667
"DE",2022,"M02",34396.8833333333
"DE",2022,"M03",34664.325
"DE",2022,"M04",34931.7666666667
"DE",2022,"M05",35199.2083333333
"DE",2022,"M06",35466.65
"DE",2022,"M07",35734.0916666667
"DE",2022,"M08",36001.5333333333
"DE",2022,"M09",36268.975
"DE",2022,"M10",36536.4166666667
"DE",2022,"M11",36803.8583333333
"DE",2022,"M12",37071.3
"FL",2012,"M01",459446.883333333
"FL",2012,"M02",460820.566666667
"FL",2012,"M03",462194.25
"FL",2012,"M04",463567.933333333
"FL",2012,"M05",464941.616666667
"FL",2012,"M06",466315.3
"FL",2012,"M07",467688.983333333
"FL",2012,"M08",469062.666666667
"FL",2012,"M09",470436.35
"FL",2012,"M10",471810.033333333
"FL",2012,"M11",473183.716666667
"FL",2012,"M12",474557.4
"FL",2013,"M01",475634.966666667
"FL",2013,"M02",476712.533333333
"FL",2013,"M03",477790.1
"FL",2013,"M04",478867.666666667
"FL",2013,"M05",479945.233333333
"FL",2013,"M06",481022.8
"FL",2013,"M07",482100.366666667
"FL",2013,"M08",483177.933333333
"FL",2013,"M09",484255.5
"FL",2013,"M10",485333.066666667
"FL",2013,"M11",486410.633333333
"FL",2013,"M12",487488.2
"FL",2014,"M01",489764.675
